iter	Passed	Remaining
693	39193	17281
694	39240	17220
695	39287	17159
696	39331	17098
697	39376	17036
698	39419	16974
699	39462	16912
700	39505	16850
701	39551	16789
702	39597	16728
703	39641	16667
704	39685	16605
705	39730	16544
706	39775	16484
707	39819	16422
708	39864	16361
709	39906	16300
710	39950	16238
711	39993	16176
712	40035	16115
713	40079	16054
714	40122	15992
715	40167	15932
716	40211	15871
717	40257	15811
718	40303	15751
719	40347	15690
720	40392	15630
721	40435	15569
722	40480	15509
723	40527	15449
724	40572	15389
725	40618	15329
726	40664	15270
727	40708	15209
728	40752	15149
729	40795	15088
730	40839	15028
731	40882	14967
732	40925	14907
733	40969	14847
734	41013	14787
735	41057	14727
736	41101	14667
737	41144	14606
738	41187	14546
739	41230	14486
740	41272	14426
741	41315	14365
742	41358	14305
743	41403	14246
744	41446	14186
745	41489	14126
746	41531	14066
747	41574	14006
748	41618	13946
749	41660	13886
750	41702	13826
751	41746	13767
752	41789	13707
753	41832	13648
754	41875	13588
755	41917	13529
756	41961	13469
757	42005	13410
758	42047	13351
759	42090	13291
760	42134	13232
761	42177	13173
762	42220	13114
763	42263	13055
764	42310	12997
765	42357	12939
766	42405	12881
767	42453	12824
768	42499	12766
769	42544	12708
770	42590	12650
771	42637	12592
772	42682	12534
773	42732	12477
774	42780	12420
775	42822	12361
776	42865	12302
777	42908	12243
778	42952	12185
779	43032	12137
780	43183	12109
781	43290	12068
782	43464	12045
783	43581	12007
784	43703	11969
785	43817	11929
786	43954	11896
787	44068	11855
788	44181	11815
789	44327	11783
790	44472	11750
791	44587	11709
792	44748	11680
793	44875	11642
794	45018	11608
795	45120	11563
796	45228	11519
797	45368	11484
798	45496	11445
799	45633	11408
800	45745	11364
801	45864	11323
802	46012	11288
803	46190	11260
804	46302	11216
805	46452	11180
806	46602	11145
807	46749	11108
808	46895	11071
809	47111	11050
810	47236	11008
811	47402	10975
812	47525	10931
813	47628	10883
814	47778	10845
815	47853	10790
816	47906	10730
817	47954	10669
818	48000	10608
819	48046	10546
820	48091	10485
821	48137	10423
822	48186	10363
823	48233	10302
824	48278	10240
825	48325	10179
826	48370	10118
827	48417	10057
828	48461	9996
829	48506	9935
830	48552	9874
831	48598	9813
832	48644	9752
833	48690	9691
834	48734	9630
835	48782	9569
836	48829	9509
837	48874	9448
838	48921	9387
839	48969	9327
